step,cafe_frobenius_norm,cafe_normalized_energy,passive_frobenius_norm,passive_normalized_energy,persistent_norm,working_norm,scratchpad_norm,unbounded_energy
48200,0.02536,0.00014,0.03346,0.00018,0.01942,0.0142,0.00802,999999.0
48400,0.0277,0.00015,0.03283,0.00018,0.02063,0.01613,0.00901,999999.0
48600,0.01889,0.0001,0.03268,0.00018,0.01495,0.01019,0.00543,999999.0
48800,0.01862,0.0001,0.03285,0.00018,0.01449,0.01055,0.00508,999999.0
49000,0.02464,0.00014,0.03179,0.00018,0.019,0.01387,0.00732,999999.0
49200,0.03093,0.00017,0.03251,0.00018,0.0235,0.01768,0.00957,999999.0
49400,0.02793,0.00015,0.03249,0.00018,0.02139,0.01463,0.01041,999999.0
49600,0.02577,0.00014,0.03279,0.00018,0.02074,0.01315,0.00781,999999.0
49800,0.02507,0.00014,0.03177,0.00018,0.01907,0.01363,0.00888,999999.0
50000,0.03833,0.00021,0.03381,0.00019,0.03026,0.0198,0.01269,999999.0
50200,0.02952,0.00016,0.0325,0.00018,0.02321,0.01526,0.00998,999999.0
50400,0.02351,0.00013,0.03274,0.00018,0.01844,0.01267,0.00722,999999.0
50600,0.02645,0.00015,0.03257,0.00018,0.02053,0.01443,0.00836,999999.0
50800,0.02318,0.00013,0.03263,0.00018,0.01825,0.01253,0.00688,999999.0
51000,0.0299,0.00017,0.03225,0.00018,0.02329,0.01623,0.00941,999999.0
51200,0.02243,0.00012,0.03269,0.00018,0.01756,0.01078,0.00888,999999.0
51400,0.03432,0.00019,0.03238,0.00018,0.02635,0.01936,0.0104,999999.0
51600,0.03059,0.00017,0.03295,0.00018,0.02397,0.01616,0.01001,999999.0
51800,0.02534,0.00014,0.03287,0.00018,0.01977,0.01353,0.00826,999999.0
52000,0.02628,0.00015,0.03294,0.00018,0.02057,0.01419,0.00812,999999.0
52200,0.0294,0.00016,0.03333,0.00018,0.02256,0.01623,0.00958,999999.0
52400,0.0227,0.00013,0.0328,0.00018,0.01814,0.01209,0.00634,999999.0
52600,0.02431,0.00013,0.03266,0.00018,0.01883,0.01279,0.00853,999999.0
52800,0.0226,0.00012,0.03349,0.00018,0.0175,0.01246,0.00699,999999.0
53000,0.0257,0.00014,0.03233,0.00018,0.02001,0.01438,0.0073,999999.0
53200,0.02553,0.00014,0.03203,0.00018,0.01991,0.01379,0.00809,999999.0
53400,0.02198,0.00012,0.03204,0.00018,0.01692,0.01232,0.00672,999999.0
53600,0.02275,0.00013,0.03234,0.00018,0.01808,0.0121,0.00663,999999.0
53800,0.02795,0.00015,0.03232,0.00018,0.02209,0.01447,0.00917,999999.0
54000,0.02896,0.00016,0.03234,0.00018,0.02266,0.01573,0.00883,999999.0
54200,0.03595,0.0002,0.03259,0.00018,0.02794,0.01857,0.01291,999999.0
54400,0.03203,0.00018,0.03257,0.00018,0.02462,0.01809,0.00965,999999.0
54600,0.0252,0.00014,0.03266,0.00018,0.01993,0.01355,0.00737,999999.0
54800,0.03309,0.00018,0.03178,0.00018,0.0265,0.01709,0.01003,999999.0
55000,0.02274,0.00013,0.03321,0.00018,0.01841,0.01133,0.00705,999999.0
55200,0.02354,0.00013,0.03342,0.00018,0.0186,0.01243,0.00734,999999.0
55400,0.02437,0.00013,0.03206,0.00018,0.0193,0.01288,0.00744,999999.0
55600,0.02254,0.00012,0.03194,0.00018,0.01762,0.01206,0.00722,999999.0
55800,0.0222,0.00012,0.03327,0.00018,0.01764,0.01124,0.00744,999999.0
56000,0.02834,0.00016,0.03395,0.00019,0.02293,0.01461,0.00801,999999.0
56200,0.02562,0.00014,0.03335,0.00018,0.01989,0.0142,0.00767,999999.0
56400,0.01915,0.00011,0.0326,0.00018,0.01512,0.01068,0.00492,999999.0
56600,0.02793,0.00015,0.0327,0.00018,0.02192,0.01532,0.00805,999999.0
56800,0.02276,0.00013,0.03321,0.00018,0.01801,0.01133,0.00809,999999.0
57000,0.03267,0.00018,0.03239,0.00018,0.02527,0.01836,0.00961,999999.0
57200,0.03102,0.00017,0.0331,0.00018,0.02402,0.01686,0.01004,999999.0
